Id,Username,Password,Email
1,johndoe,jD!2023pass,john.doe@example.com
2,janedoe,jAne!pass45,jane.doe@example.com
3,michael.smith,M$mith2023,michael.smith@example.com
4,emily.jones,EJ@2023secure,emily.jones@example.com
5,william.brown,wB!pass2023,william.brown@example.com
6,olivia.johnson,OJ!pass2023,olivia.johnson@example.com
7,noah.williams,nW$ecure2023,noah.williams@example.com
8,ava.jones,aJ@2023safe,ava.jones@example.com
9,james.brown,jB!2023secure,james.brown@example.com
10,isabella.martin,iM!secure2023,isabella.martin@example.com
